threshold,coverage,accepted_samples,accepted_accuracy,abstention_rate
0.2,0.9931239485740662,15021,0.8129285573959351,0.006876051425933838
0.225,0.9901487827301025,14976,0.814636766910553,0.009851217269897461
0.25,0.9868429899215698,14926,0.8163607120513916,0.013157010078430176
0.275,0.9818181991577148,14850,0.8190572261810303,0.018181800842285156
0.3,0.9761983752250671,14765,0.821876049041748,0.02380162477493286
0.32499999999999996,0.9687272906303406,14652,0.8260305523872375,0.031272709369659424
0.35,0.9603967070579529,14526,0.8302354216575623,0.03960329294204712
0.375,0.952198326587677,14402,0.8345368504524231,0.047801673412323
0.39999999999999997,0.9431405067443848,14265,0.8391166925430298,0.056859493255615234
0.42499999999999993,0.9327603578567505,14108,0.8442727327346802,0.06723964214324951
0.44999999999999996,0.9229090809822083,13959,0.8491296172142029,0.07709091901779175
0.4749999999999999,0.9112727046012878,13783,0.8540230989456177,0.08872729539871216
0.49999999999999994,0.8929587006568909,13506,0.8613949418067932,0.10704129934310913
0.5249999999999999,0.8686941862106323,13139,0.8728975057601929,0.13130581378936768
0.5499999999999999,0.8426446318626404,12745,0.8827775716781616,0.15735536813735962
0.575,0.8192396759986877,12391,0.8916148543357849,0.18076032400131226
0.5999999999999999,0.7946446537971497,12019,0.9000748991966248,0.20535534620285034
0.625,0.7703801393508911,11652,0.9078269600868225,0.2296198606491089
0.6499999999999999,0.7441322207450867,11255,0.9159484505653381,0.25586777925491333
0.6749999999999998,0.7170248031616211,10845,0.922821581363678,0.2829751968383789
0.7,0.6908429861068726,10449,0.9299454689025879,0.30915701389312744
0.7249999999999999,0.6691570281982422,10121,0.9384447932243347,0.3308429718017578
0.7499999999999998,0.6464793682098389,9778,0.94456946849823,0.35352063179016113
0.7749999999999999,0.6267768740653992,9480,0.9497890472412109,0.37322312593460083
0.7999999999999998,0.6047603487968445,9147,0.9553952217102051,0.3952396512031555
0.825,0.5798346996307373,8770,0.960433304309845,0.4201653003692627
0.8499999999999999,0.5541818141937256,8382,0.9637318253517151,0.4458181858062744
0.8749999999999998,0.5246942043304443,7936,0.9693800210952759,0.47530579566955566
0.8999999999999999,0.4903801679611206,7417,0.9758662581443787,0.5096198320388794
0.9249999999999998,0.4448264539241791,6728,0.9830558896064758,0.5551735460758209
0.9499999999999997,0.386115700006485,5840,0.9895548224449158,0.613884299993515
